title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Unveiling Corteva, Inc.  ( CTVA )  Q4 Outlook: Wall Street Estimates for Key Metrics",https://www.zacks.com/stock/news/2216429/unveiling-corteva-inc-ctva-q4-outlook-wall-street-estimates-for-key-metrics,2024-01-26 14:15:24,"Get a deeper insight into the potential performance of Corteva, Inc. (CTVA) for the quarter ended December 2023 by going beyond Wall Street's top -and-bottom-line estimates and examining the estimates for some of its key metrics.",CTVA,0.544495,0.05997,Neutral
How to Find Strong Consumer Staples Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2216378/how-to-find-strong-consumer-staples-stocks-slated-for-positive-earnings-surprises,2024-01-26 13:50:06,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,CTVA,0.38489,0.393624,Bullish
Corteva Declares Quarterly Dividend,https://www.prnewswire.com/news-releases/corteva-declares-quarterly-dividend-302045288.html,2024-01-26 13:30:00,"INDIANAPOLIS, Jan. 26, 2024 /PRNewswire/ -- Corteva, Inc. ( NYSE: CTVA ) today announced its Board of Directors has authorized a common stock dividend of $0.16 cents per share, payable March 15, 2024, to the Company's shareholders of record on March 1, 2024.",CTVA,0.791876,0.664077,Bullish
Dow reports fourth quarter 2023 results,https://www.prnewswire.com/news-releases/dow-reports-fourth-quarter-2023-results-302044519.html,2024-01-25 11:00:00,"MIDLAND, Mich., Jan. 25, 2024 /PRNewswire/ -- Dow ( NYSE: DOW ) : Jim Fitterling, chair and chief executive officer, commented on the quarter: ""In the fourth quarter, Team Dow continued to advance our strategic, financial and operational priorities in a challenging and dynamic macroeconomic ...",CTVA,0.011563,0.009821,Neutral
"DuPont stock dives as weak China, inventory cuts prompt profit warning",https://www.marketwatch.com/story/dupont-stock-tumbles-after-profit-warning-citing-inventory-destocking-weak-china-demand-5adc706f,2024-01-24 11:59:00,"Shares of DuPont de Nemours Inc. tumbled Wednesday, toward their worst day in nearly four years, after the materials science company issued a profit warning, as the weaker demand seen at the end of 2023 is expected to continue.",CTVA,0.233556,0.025057,Neutral
DuPont Announces Preliminary Fourth Quarter and Full Year 2023 Results and Provides Initial First Quarter 2024 Outlook,https://www.prnewswire.com/news-releases/dupont-announces-preliminary-fourth-quarter-and-full-year-2023-results-and-provides-initial-first-quarter-2024-outlook-302042545.html,2024-01-24 11:45:00,"Schedules Quarterly Earnings Conference Call for February 6, 2024 WILMINGTON, Del., Jan. 24, 2024 /PRNewswire/ -- DuPont ( NYSE: DD ) today announced preliminary financial results ( 1 ) for the fourth quarter and full year ended December 31, 2023, provided an initial outlook for the first quarter ...",CTVA,0.024359,-0.025453,Neutral
DOLE or CTVA: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2212933/dole-or-ctva-which-is-the-better-value-stock-right-now,2024-01-19 16:40:08,DOLE vs. CTVA: Which Stock Is the Better Value Option?,CTVA,0.692877,0.55691,Bullish
"Agricultural Biotechnology Market Projected to Reach USD 64.7 billion, with Advancing CAGR of 9.5% by 2031: Transparency Market Research, Inc.",https://www.benzinga.com/pressreleases/24/01/g36696108/agricultural-biotechnology-market-projected-to-reach-usd-64-7-billion-with-advancing-cagr-of-9-5-b,2024-01-19 15:00:00,"Wilmington, Delaware, United States, Jan. 19, 2024 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global agricultural biotechnology market is estimated to flourish at a CAGR of 9.5% from 2022 to 2031.",CTVA,0.072765,0.164699,Somewhat-Bullish
Locus Technologies Unveils Expansion of its Water SaaS to Produced Water Management for the Oil and Gas Industry,https://www.benzinga.com/pressreleases/24/01/g36648702/locus-technologies-unveils-expansion-of-its-water-saas-to-produced-water-management-for-the-oil-an,2024-01-16 19:39:29,"SAN FRANCISCO, Jan. 16, 2024 ( GLOBE NEWSWIRE ) -- Locus Technologies ( Locus ) , the pioneer in water, Environmental, Health, and Safety ( EHS ) compliance and Environmental, Social, and Governance ( ESG ) software solutions, announces expansion of its water management SaaS platform to include ...",CTVA,0.079656,0.139949,Neutral
Crop-killing weeds spread across US farms as chemicals lose effectiveness,https://www.business-standard.com/world-news/crop-killing-weeds-spread-across-us-farms-as-chemicals-lose-effectiveness-124011601094_1.html,2024-01-16 17:33:32,"Crop-killing weeds such as kochia are advancing across the U.S. northern plains and Midwest, in the latest sign that weeds are developing resistance to chemicals faster than companies including Bayer and Corteva can develop new ones to fight them.",CTVA,0.115602,-0.085891,Neutral
