title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Should Vanguard Small-Cap Growth ETF  ( VBK )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2213912/should-vanguard-small-cap-growth-etf-vbk-be-on-your-investing-radar,2024-01-23 11:20:07,Style Box ETF report for ...,TRGP,0.12645,0.069352,Neutral
Targa Resources Corp. to Participate in U.S. Capital Advisors Midstream Corporate Access Day - Targa Resources  ( NYSE:TRGP ) ,https://www.benzinga.com/pressreleases/24/01/g36727371/targa-resources-corp-to-participate-in-u-s-capital-advisors-midstream-corporate-access-day,2024-01-22 22:17:37,"HOUSTON, Jan. 22, 2024 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. TRGP ( ""Targa"" or the ""Company"" ) announced today that representatives from the Company will participate in investor meetings at the U.S. Capital Advisors Midstream Corporate Access Day in Houston, TX on Tuesday, January 23, 2024.",TRGP,0.185781,0.174774,Somewhat-Bullish
Targa Resources Corp. to Participate in U.S. Capital Advisors Midstream Corporate Access Day,https://www.globenewswire.com/news-release/2024/01/22/2813526/14074/en/Targa-Resources-Corp-to-Participate-in-U-S-Capital-Advisors-Midstream-Corporate-Access-Day.html,2024-01-22 22:17:00,"HOUSTON, Jan. 22, 2024 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. ( NYSE: TRGP ) ( ""Targa"" or the ""Company"" ) announced today that representatives from the Company will participate in investor meetings at the U.S. Capital Advisors Midstream Corporate Access Day in Houston, TX on Tuesday, January ...",TRGP,0.193207,0.183111,Somewhat-Bullish
Targa Resources Corp. Announces Quarterly Dividend and Timing of Fourth Quarter 2023 Earnings Webcast - Targa Resources  ( NYSE:TRGP ) ,https://www.benzinga.com/pressreleases/24/01/g36688271/targa-resources-corp-announces-quarterly-dividend-and-timing-of-fourth-quarter-2023-earnings-webca,2024-01-18 23:44:10,"HOUSTON, Jan. 18, 2024 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. TRGP ( ""Targa"" or the ""Company"" ) announced its quarterly dividend on common shares with respect to the fourth quarter of 2023.",TRGP,0.199859,0.183709,Somewhat-Bullish
Targa Resources Corp. Announces Quarterly Dividend and Timing of Fourth Quarter 2023 Earnings Webcast,https://www.globenewswire.com/news-release/2024/01/18/2812040/0/en/Targa-Resources-Corp-Announces-Quarterly-Dividend-and-Timing-of-Fourth-Quarter-2023-Earnings-Webcast.html,2024-01-18 23:44:00,"HOUSTON, Jan. 18, 2024 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. ( NYSE: TRGP ) ( ""Targa"" or the ""Company"" ) announced its quarterly dividend on common shares with respect to the fourth quarter of 2023.",TRGP,0.211191,0.217606,Somewhat-Bullish
Is Invesco S&P 500 Pure Growth ETF  ( RPG )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2206063/is-invesco-sp-500-pure-growth-etf-rpg-a-strong-etf-right-now,2024-01-05 11:20:05,Smart Beta ETF report for ...,TRGP,0.11894,0.061867,Neutral
Should Invesco S&P 500 Pure Growth ETF  ( RPG )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2202011/should-invesco-sp-500-pure-growth-etf-rpg-be-on-your-investing-radar,2023-12-26 11:20:06,Style Box ETF report for ...,TRGP,0.120431,0.067868,Neutral
Is iShares Investment Grade Bond Factor ETF  ( IGEB )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2201375/is-ishares-investment-grade-bond-factor-etf-igeb-a-strong-etf-right-now,2023-12-22 11:20:06,Smart Beta ETF report for ...,TRGP,0.059049,0.094995,Neutral
5 Best Energy Stocks For 2024,https://www.forbes.com/sites/investor-hub/article/best-energy-stocks-for-2024/,2023-12-14 21:54:35,"This article delves into the influential role of energy equities in enhancing your financial portfolio. It looks at the unique advantages of investing in energy stocks, highlighting their potential for significant growth and dynamic impact.",TRGP,0.042647,0.269687,Somewhat-Bullish
Targa Resources Earns Relative Strength Rating Upgrade; Hits Key Threshold,https://www.investors.com/ibd-data-stories/targa-resources-earns-relative-strength-rating-upgrade-hits-key-threshold/,2023-12-11 08:00:00,Targa Resources Earns Relative Strength Rating Upgrade. Hits Key Threshold Investor's Business Daily ...,TRGP,0.582526,0.508245,Bullish
Targa Resources Corp. to Participate in Investor Conferences - Targa Resources  ( NYSE:TRGP ) ,https://www.benzinga.com/pressreleases/23/12/g36054823/targa-resources-corp-to-participate-in-investor-conferences,2023-12-01 22:00:11,"HOUSTON, Dec. 01, 2023 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. TRGP ( ""Targa"" or the ""Company"" ) announced today that representatives from the Company will participate in investor meetings at the following investor conferences in New York City, NY:",TRGP,0.181591,0.155702,Somewhat-Bullish
Targa Resources Corp. to Participate in Investor Conferences,https://www.globenewswire.com/news-release/2023/12/01/2789560/14074/en/Targa-Resources-Corp-to-Participate-in-Investor-Conferences.html,2023-12-01 22:00:00,"HOUSTON, Dec. 01, 2023 ( GLOBE NEWSWIRE ) -- Targa Resources Corp. ( NYSE: TRGP ) ( ""Targa"" or the ""Company"" ) announced today that representatives from the Company will participate in investor meetings at the following investor conferences in New York City, NY: ...",TRGP,0.195287,0.165927,Somewhat-Bullish
Should Vanguard Small-Cap Growth ETF  ( VBK )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2188228/should-vanguard-small-cap-growth-etf-vbk-be-on-your-investing-radar,2023-11-23 11:20:06,Style Box ETF report for ...,TRGP,0.123209,0.081171,Neutral
Dow Jones Index Flat; GOOGL Falls On AI Delay,https://www.investors.com/market-trend/stock-market-today/dow-jones-flat-googl-falls-on-ai-delay/,2023-11-17 18:56:00,Dow Jones Index Flat. GOOGL Falls On AI Delay Investor's Business Daily ...,TRGP,0.108222,0.0,Neutral
"Dow Jones Holds Strong Near 35,000, But AMAT Stock Dives After Earnings, DOJ Probe",https://www.investors.com/market-trend/stock-market-today/dow-jones-holds-strong-near-35000-amat-stock-dives-after-earnings-doj-probe/,2023-11-17 15:40:00,"Dow Jones Holds Strong Near 35000, But AMAT Stock Dives After ... Investor's Business Daily ...",TRGP,0.099066,0.110005,Neutral
