title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
This Top Chip Stock Is Expanding Into EVs -- Is It a Buy for 2023?,https://www.fool.com/investing/2023/01/10/top-chip-stock-expanding-into-evs-is-it-buy-2023/,2023-01-10 15:49:41,Skyworks Solutions is starting small but growing fast in the electric vehicle market.,ADI,0.050894,0.181389,Somewhat-Bullish
What's in Store for Taiwan Semiconductor's  ( TSM )  Q4 Earnings?,https://www.zacks.com/stock/news/2037146/whats-in-store-for-taiwan-semiconductors-tsm-q4-earnings,2023-01-10 12:17:00,Taiwan Semiconductor's (TSM) fourth-quarter 2022 results are expected to reflect gains from the robust technology portfolio amid geopolitical tensions.,ADI,0.196344,0.115807,Neutral
"Touch controller IC market: Growth opportunities led by Analog Devices Inc, Apex Material Technology Corp, Cirque Corp - Technavio",https://www.prnewswire.com/news-releases/touch-controller-ic-market-growth-opportunities-led-by-analog-devices-inc-apex-material-technology-corp-cirque-corp---technavio-301714246.html,2023-01-09 12:30:00,Touch controller IC market: Growth opportunities led by Analog ... PR ...,ADI,0.031159,0.087164,Neutral
"CES 2023: AMD, Nvidia, auto applications get the hype, but analysts say this one chip maker ruled",https://www.marketwatch.com/story/ces-2023-amd-nvidia-auto-applications-get-the-hype-but-analysts-say-this-one-chip-maker-ruled-11673040821,2023-01-06 21:33:00,As CES 2023 draws to a close this weekend much of the attention in the chip world was lauded on companies like Advanced Micro Devices Inc. and Nvidia Corp. but a lower profile chip maker appears better positioned coming out of the convention.,ADI,0.091509,0.055601,Neutral
Automotive Microcontrollers Market will value to USD 19.86 billion by 2030 & it grow at a CAGR of 7.4% till 2030 : GreyViews,https://www.benzinga.com/pressreleases/23/01/g30316354/automotive-microcontrollers-market-will-value-to-usd-19-86-billion-by-2030-it-grow-at-a-cagr-of-7-,2023-01-06 20:00:00,"Pune India, Jan. 06, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa.",ADI,0.049221,0.13954,Neutral
The Smartest Dividend Stocks to Buy With $400 Right Now,https://www.fool.com/investing/2023/01/06/the-smartest-dividend-stocks-to-buy-with-400-right/,2023-01-06 13:58:00,"You don't need much money to invest in outstanding dividend-paying stocks. For example, here are three great chip stocks with affordable shares and generous dividends.",ADI,0.259529,0.161363,Somewhat-Bullish
"The Zacks Analyst Blog Highlights NextEra Energy, BlackRock, The TJX Companies, Analog Devices and Southern Copper",https://www.zacks.com/stock/news/2035448/the-zacks-analyst-blog-highlights-nextera-energy-blackrock-the-tjx-companies-analog-devices-and-southern-copper,2023-01-05 09:31:00,"NextEra Energy, BlackRock, The TJX Companies, Analog Devices and Southern Copper are included in this Analyst Blog.",ADI,0.154455,0.0,Neutral
"Top Stock Reports for NextEra Energy, BlackRock & TJX",https://www.zacks.com/research-daily/2035064/top-stock-reports-for-nextera-energy-blackrock-tjx,2023-01-04 21:26:00,"Today's Research Daily features new research reports on 16 major stocks, including NextEra Energy, Inc. (NEE), BlackRock, Inc. (BLK) and The TJX Companies, Inc. (TJX).",ADI,0.127795,0.157416,Somewhat-Bullish
Exclusive: A single Iranian attack drone found to contain parts from more than a dozen US companies | Politics,https://www.cnn.com/2023/01/04/politics/iranian-drone-parts-13-us-companies-ukraine-russia/index.html,2023-01-04 11:00:53,CNN Exclusive: A single Iranian attack drone found to contain parts from more than a dozen US companies ...,ADI,0.051111,0.005984,Neutral
Exclusive: A single Iranian attack drone found to contain parts from more than a dozen US companies | Politics,https://edition.cnn.com/2023/01/04/politics/iranian-drone-parts-13-us-companies-ukraine-russia,2023-01-04 11:00:00,CNN Exclusive: A single Iranian attack drone found to contain parts from more than a dozen US companies CNN International ...,ADI,0.051111,0.005984,Neutral
