title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
5 Blockchain ETFs to Consider in 2023,https://www.fool.com/investing/stock-market/market-sectors/financials/blockchain-stocks/blockchain-etf/,2023-01-10 16:01:46,"Blockchain technology has a promising future. Thousands of cryptocurrencies have popped up in recent years to capitalize on the potential, but that might be a risky investment you aren't ready to embark on.Not to worry, though.",ACN,0.035714,0.099959,Neutral
Industry Veteran Jay Dettling Joins Hero Digital as CEO to Accelerate the Company's Next Phase of Growth,https://www.prnewswire.com/news-releases/industry-veteran-jay-dettling-joins-hero-digital-as-ceo-to-accelerate-the-companys-next-phase-of-growth-301717578.html,2023-01-10 14:00:00,Industry Veteran Jay Dettling Joins Hero Digital as CEO to ... PR ...,ACN,0.075635,-0.071688,Neutral
IT hiring remains under pressure in December | The Financial Express,https://www.financialexpress.com/industry/it-hiring-remains-under-pressure-in-december/2941838/,2023-01-09 21:10:00,IT hiring remains under pressure in December The Financial Express ...,ACN,0.054359,0.106999,Neutral
KemPharm Announces Board and Leadership Changes to Support its Transformation into a Leading Rare Disease Company,https://www.globenewswire.com/news-release/2023/01/09/2584962/16626/en/KemPharm-Announces-Board-and-Leadership-Changes-to-Support-its-Transformation-into-a-Leading-Rare-Disease-Company.html,2023-01-09 11:30:00,"Matthew R. Plooster named Chairman of the Board of DirectorsRichard W. Pascoe appointed Chief Executive OfficerTravis C. Mickle, Ph.D. transitions to PresidentJoshua Schafer appointed Chief Commercial Officer and Executive Vice President of Business Development ...",ACN,0.024749,0.025211,Neutral
KemPharm Announces Board and Leadership Changes to Support its Transformation into a Leading Rare Disease Company - KemPharm  ( NASDAQ:KMPH ) ,https://www.benzinga.com/pressreleases/23/01/g30328772/kempharm-announces-board-and-leadership-changes-to-support-its-transformation-into-a-leading-rare-,2023-01-09 11:30:00,"Matthew R. Plooster named Chairman of the Board of DirectorsRichard W. Pascoe appointed Chief Executive OfficerTravis C. Mickle, Ph.D. transitions to PresidentJoshua Schafer appointed Chief Commercial Officer and Executive Vice President of Business Development",ACN,0.024396,0.023337,Neutral
A prolific ransomware gang is going after bigger and bigger targets this month,https://www.axios.com/2023/01/06/lockbit-ransomware-gang-attacks,2023-01-06 18:51:50,LockBit ransomware gang claims several attacks on critical ... ...,ACN,0.115787,-0.193742,Somewhat-Bearish
The Oven Won't Talk To The Fridge: 'Smart' Homes Struggle,https://www.barrons.com/news/the-oven-won-t-talk-to-the-fridge-smart-homes-struggle-01673025910,2023-01-06 17:26:50,"Tech firms have spent years hawking the idea of a connected home filled with ""smart"" devices that help smooth daily domestic lives -- and this year's CES gadget show in Las Vegas is no different.",ACN,0.058472,0.255045,Somewhat-Bullish
This Week In Credit Card News: Interest Rates Expected To Keep Rising; Credit Card Trends In 2023,https://www.forbes.com/sites/billhardekopf/2023/01/05/this-week-in-credit-card-news-interest-rates-expected-to-keep-rising-credit-card-trends-in-2023/,2023-01-05 17:34:09,What took place this week in the credit card and payment industries ...,ACN,0.028355,0.098501,Neutral
Ipsos reinforces its leadership team with two new appointments to the Executive Committee,https://www.globenewswire.com/news-release/2023/01/05/2583972/0/en/Ipsos-reinforces-its-leadership-team-with-two-new-appointments-to-the-Executive-Committee.html,2023-01-05 16:52:00,"Paris, 5 January 2023 - As part of our focus on best people and best technology in our 2025 Growth Plan, Ipsos is pleased to announce two key appointments to our global Executive Committee: Valerie Vezinhet as Chief People Officer and Michel Guidi as Chief Operating Officer.",ACN,0.085629,0.060979,Neutral
Starburst Hosts Third Annual Datanova Conference Keynoted by Kara Swisher and Tara Ruttley,https://www.prnewswire.com/in/news-releases/starburst-hosts-third-annual-datanova-conference-keynoted-by-kara-swisher-and-tara-ruttley-301714201.html,2023-01-05 14:00:00,Starburst Hosts Third Annual Datanova Conference Keynoted by ... PR ...,ACN,0.045054,0.059259,Neutral
Starburst Hosts Third Annual Datanova Conference Keynoted by Kara Swisher and Tara Ruttley,https://www.newswire.ca/news-releases/starburst-hosts-third-annual-datanova-conference-keynoted-by-kara-swisher-and-tara-ruttley-821820667.html,2023-01-05 14:00:00,Starburst Hosts Third Annual Datanova Conference Keynoted by ... Canada ...,ACN,0.045054,0.059259,Neutral
"Leidos to Support CDC Cloud Modernization Services - Accenture  ( NYSE:ACN ) , Leidos Holdings  ( NYSE:LDOS ) ",https://www.benzinga.com/pressreleases/23/01/n30292186/leidos-to-support-cdc-cloud-modernization-services,2023-01-05 13:05:00,"RESTON, Va., Jan. 5, 2023 /PRNewswire/ -- Leidos LDOS, a FORTUNE® 500 science and technology leader, has been awarded a subcontract by Accenture Federal Services ( AFS ) , a subsidiary of Accenture ACN, to support cloud modernization services for the Centers for Disease Control and Prevention ( ...",ACN,0.437261,0.403729,Bullish
Vector Institute announces Tony Gaffney as new President and CEO,https://www.benzinga.com/pressreleases/23/01/g30278808/vector-institute-announces-tony-gaffney-as-new-president-and-ceo,2023-01-04 17:18:43,"TORONTO, Jan. 04, 2023 ( GLOBE NEWSWIRE ) -- The Board of Directors of the Vector Institute announced today that Tony Gaffney will assume the role of President and CEO effective January 16, 2023 for a five-year term to 2028.",ACN,0.084423,0.050109,Neutral
Raj Tanwar accepted into Forbes Human Resources Council,https://www.prnewswire.com/news-releases/raj-tanwar-accepted-into-forbes-human-resources-council-301713387.html,2023-01-04 14:04:00,"GURGAON, India, Jan. 4, 2023 /PRNewswire/ -- Raj Tanwar, CHRO, of Advantage Club Technologies Private Limited, has been accepted into Forbes Human Resources Council, an invitation-only community for HR executives across all industries.",ACN,0.093289,0.273311,Somewhat-Bullish
Raj Tanwar accepted into Forbes Human Resources Council,https://www.newswire.ca/news-releases/raj-tanwar-accepted-into-forbes-human-resources-council-813154614.html,2023-01-04 14:04:00,"GURGAON, India, Jan. 4, 2023 /CNW/ -- Raj Tanwar, CHRO, of Advantage Club Technologies Private Limited, has been accepted into Forbes Human Resources Council, an invitation-only community for HR executives across all industries.",ACN,0.093289,0.273311,Somewhat-Bullish
HEP Announces New Hire and Promotion,https://www.prnewswire.com/news-releases/hep-announces-new-hire-and-promotion-301712605.html,2023-01-04 12:00:00,"NEW YORK, Jan. 4, 2023 /PRNewswire/ -- ( ""HEP"" ) , a healthcare private equity firm, is pleased to announce the hiring of Scott Whyte as Partner, Value Creation and the promotion of David Rauber to Senior Associate.",ACN,0.066598,-0.06926,Neutral
Five Things To Watch At CES Tech Megashow,https://www.barrons.com/news/five-things-to-watch-at-ces-tech-megashow-01672795508,2023-01-04 01:25:43,Five Things To Watch At CES Tech ...,ACN,0.064104,0.077049,Neutral
