title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
House Majority Leader Scalise sidesteps thorny question of whether Congress would allow U.S. to default on its debt,https://www.cnbc.com/2023/01/10/house-majority-leader-scalise-sidesteps-thorny-question-of-whether-congress-would-allow-us-to-default-on-its-debt.html,2023-01-10 19:38:21,"The U.S. is perilously close to hitting its debt ceiling of $31.4 trillion, the legal limit set by Congress that curtails how much the government can borrow.",MCO,0.102888,-0.178,Somewhat-Bearish
CSCO: 3 Surefire Stocks to Add to Your Portfolio in 2023,https://stocknews.com/news/csco-umc-ayi-3-surefire-stocks-to-add-to-your-portfolio-in-2023/,2023-01-10 19:32:45,CSCO: 3 Surefire Stocks to Add to Your Portfolio in ...,MCO,0.029545,0.053942,Neutral
US banks get ready for shrinking profits and recession,https://www.foxbusiness.com/economy/us-banks-ready-shrinking-profits-recession,2023-01-10 18:45:26,U.S. banking giants are forecast to report lower fourth quarter profits this week as lenders stockpile rainy-day funds to prepare for an economic slowdown that is battering investment banking.,MCO,0.060236,0.200052,Somewhat-Bullish
Recession Fears 2023: What Lies Ahead?,https://www.forbes.com/sites/qai/2023/01/10/recession-fears-2023-what-lies-ahead/,2023-01-10 16:49:07,"A 2023 recession may be on the way, with economists predicting a 70% chance of economic downturn this year.",MCO,0.023673,0.0,Neutral
Expert Economist Predictions For The Housing Market In 2023: Will Home Prices Decrease?,https://www.benzinga.com/news/23/01/30324480/expert-economist-predictions-for-the-housing-market-in-2023-will-home-prices-decrease,2023-01-10 15:41:23,The Federal Reserve was under pressure to start its roughly one-year-long journey to control inflation by raising interest rates as a result of stubbornly high costs during 2022.,MCO,0.073773,-0.215338,Somewhat-Bearish
8 Financial Favorites For 2023,https://www.forbes.com/sites/moneyshow/2023/01/10/8-financial-favorites-for-2023/,2023-01-10 14:39:45,"Each January, in the MoneyShow Top Picks report, we survey the leading financial newsletter advisors asking for their top investment ideas for the new year. Here, eight advisors offer their top financial sector ideas for 2023.",MCO,0.01472,0.126301,Neutral
McDonald's Former C.E.O. Pays for a Workplace Scandal,https://www.nytimes.com/2023/01/10/business/dealbook/mcdonalds-ceo-sec-firing.html,2023-01-10 13:24:24,The Securities and Exchange Commission fined Steve Easterbrook for lack of disclosure about the circumstances behind his firing in 2019.,MCO,0.016249,-0.046711,Neutral
4 Dividend Stocks You Can Trust In a Bear Market,https://www.fool.com/investing/2023/01/10/4-dividend-stocks-you-can-trust-in-a-bear-market/,2023-01-10 11:45:00,Dividend stocks can offer excellent returns in bear markets.,MCO,0.041394,0.090873,Neutral
U.S. banks get ready for shrinking profits and recession,https://www.reuters.com/business/finance/us-banks-get-ready-shrinking-profits-recession-2023-01-10/,2023-01-10 05:11:00,"[1/3] A customer uses an ATM at a Bank of America branch in Boston, Massachusetts, U.S., October 11, 2017. REUTERS/Brian Snyder/File Photo",MCO,0.056143,0.199121,Somewhat-Bullish
Cargill CFO Resigns as Company Reshuffles Leadership,https://www.wsj.com/articles/cargill-chief-financial-officer-jamie-miller-resigns-11673279776,2023-01-09 21:56:00,The Minneapolis-based agricultural giant has begun searching for Jamie Miller's successor. Her departure comes as the company's new CEO takes up his role.,MCO,0.07887,0.107011,Neutral
"Air France-KLM announces the successful issuance of its inaugural sustainability-linked bonds, for a total aggregate amount of €1.0bn",https://www.globenewswire.com/news-release/2023/01/09/2585573/0/en/Air-France-KLM-announces-the-successful-issuance-of-its-inaugural-sustainability-linked-bonds-for-a-total-aggregate-amount-of-1-0bn.html,2023-01-09 18:16:00,"Paris, 9 January ...",MCO,0.066414,0.184551,Somewhat-Bullish
