title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Alliant Energy  ( LNT )  Rides on Investments, Renewable Expansion",https://www.zacks.com/stock/news/2216413/alliant-energy-lnt-rides-on-investments-renewable-expansion,2024-01-26 14:18:00,"Alliant Energy (LNT) continues to benefit from its initiative to further strengthen and expand its infrastructure, and its focus on adding clean assets to its portfolio.",LNT,0.274628,0.186601,Somewhat-Bullish
NextEra Energy  ( NEE )  Q4 Earnings & Revenues Beat Estimates,https://www.zacks.com/stock/news/2216056/nextera-energy-nee-q4-earnings-revenues-beat-estimates,2024-01-25 17:22:00,NextEra Energy (NEE) posts better-than-expected fourth-quarter earnings and revenues. It continues to gain from the thriving Florida economy.,LNT,0.111747,0.080256,Neutral
"ONE Gas  ( OGS )  Raises Quarterly Dividend, Lowers '23 EPS View",https://www.zacks.com/stock/news/2214916/one-gas-ogs-raises-quarterly-dividend-lowers-23-eps-view,2024-01-24 14:27:00,ONE Gas (OGS) continues to increase shareholders' value as its board of directors approved a 1.5% quarterly dividend hike. The company also lowers its 2023 earnings guidance.,LNT,0.151064,0.089057,Neutral
NRG Energy  ( NRG )  Rewards Shareholders With 8% Dividend Hike,https://www.zacks.com/stock/news/2213312/nrg-energy-nrg-rewards-shareholders-with-8-dividend-hike,2024-01-22 13:06:00,NRG Energy (NRG) continues to increase shareholders' value as its board of directors approves an 8% quarterly dividend hike.,LNT,0.148273,0.088071,Neutral
Alliant Energy  ( LNT )  Rewards Shareholders With 6.1% Dividend Hike,https://www.zacks.com/stock/news/2210394/alliant-energy-lnt-rewards-shareholders-with-61-dividend-hike,2024-01-15 18:05:00,"Alliant Energy (LNT) continues to increase shareholders' value, as its board of directors approves a 6.1% quarterly dividend hike.",LNT,0.43852,0.51057,Bullish
Reasons to Add National Grid  ( NGG )  to Your Portfolio Now,https://www.zacks.com/stock/news/2203202/reasons-to-add-national-grid-ngg-to-your-portfolio-now,2023-12-28 15:18:00,"National Grid (NGG), with its regular dividend payment and rising earnings estimates, makes a strong case for investment in the utility space.",LNT,0.175221,0.072823,Neutral
Brunswick Corporation announces multiple solar installations to its global manufacturing facilities,https://www.globenewswire.com/news-release/2023/12/28/2801629/36093/en/Brunswick-Corporation-announces-multiple-solar-installations-to-its-global-manufacturing-facilities.html,2023-12-28 11:00:00,"METTAWA, Ill., Dec. 28, 2023 ( GLOBE NEWSWIRE ) -- Brunswick Corporation ( NYSE: BC ) , the world's largest recreational marine technology company, has announced the completion of solar installations at three of its global facilities including its first project in Mexico.",LNT,0.05257,0.277827,Somewhat-Bullish
4 Reasons to Add Unitil  ( UTL )  to Your Portfolio Right Now,https://www.zacks.com/stock/news/2201650/4-reasons-to-add-unitil-utl-to-your-portfolio-right-now,2023-12-22 15:22:00,"Unitil (UTL), with its regular dividend payment and rising earnings estimates, makes a strong case for investment in the utility space.",LNT,0.152499,0.120649,Neutral
Reasons to Add Vistra  ( VST )  to Your Portfolio Right Now,https://www.zacks.com/stock/news/2201631/reasons-to-add-vistra-vst-to-your-portfolio-right-now,2023-12-22 15:01:00,"Vistra (VST) is making investments to strengthen its existing operations, increase shareholder value through buybacks and dividends, and continue to serve its customers efficiently.",LNT,0.322023,0.326455,Somewhat-Bullish
TotalEnergies  ( TTE )  to Invest in 1 GW Kazakhstan Wind Project,https://www.zacks.com/stock/news/2195728/totalenergies-tte-to-invest-in-1-gw-kazakhstan-wind-project,2023-12-08 18:11:00,TotalEnergies (TTE) continues to expand its renewable energy portfolio globally and is on course to achieve 100 Terawatt hours of clean energy by 2030.,LNT,0.182506,0.273716,Somewhat-Bullish
Dominion's  ( D )  Largest Battery Storage System Starts Operation,https://www.zacks.com/stock/news/2195263/dominions-d-largest-battery-storage-system-starts-operation,2023-12-08 12:09:00,Dominion's (D) new battery storage system becomes operational. The company continues to add more clean energy to the grid while enhancing its service reliability.,LNT,0.166169,0.223517,Somewhat-Bullish
Dominion  ( D )  to Develop Cutting-edge Battery Storage With VSU,https://www.zacks.com/stock/news/2185918/dominion-d-to-develop-cutting-edge-battery-storage-with-vsu,2023-11-17 14:16:00,Dominion (D) decides to test another long-duration battery storage project for the Multi-Purpose Center at Virginia State University.,LNT,0.151222,0.227427,Somewhat-Bullish
"Alliant Energy  ( LNT )  to Gain From Investments, Clean Portfolio",https://www.zacks.com/stock/news/2185915/alliant-energy-lnt-to-gain-from-investments-clean-portfolio,2023-11-17 14:14:00,"Alliant Energy (LNT) will continue to benefit from its initiative to strengthen and expand its infrastructure, and its focus on adding clean assets to its portfolio.",LNT,0.173333,0.383377,Bullish
"Alliant Energy  ( LNT )  Q3 Earnings Top Estimates, Revenues Fall Y/Y",https://www.zacks.com/stock/news/2178185/alliant-energy-lnt-q3-earnings-top-estimates-revenues-fall-yy,2023-11-03 14:31:00,Alliant Energy's (LNT) third-quarter 2023 earnings increase year over year. The company's retail electric and gas customers grow during the same period.,LNT,0.466811,0.189895,Somewhat-Bullish
"Alliant Energy  ( LNT )  Q3 Earnings Top Estimates, Revenues Fall Y/Y",https://www.zacks.com/stock/news/2178185/alliant-energy-lnt-q3-earnings-top-estimates-revenues-fall-yy,2023-11-03 13:31:00,Alliant Energy's (LNT) third-quarter 2023 earnings increase year over year. The company's retail electric and gas customers grow during the same period.,LNT,0.466811,0.189895,Somewhat-Bullish
"WEC Energy  ( WEC )  Q3 Earnings Beat Estimates, Revenues Lag",https://www.zacks.com/stock/news/2176152/wec-energy-wec-q3-earnings-beat-estimates-revenues-lag,2023-11-01 11:50:00,WEC Energy's (WEC) third-quarter 2023 earnings increase year over year. The company lowers its total operating expenses during the same period.,LNT,0.148731,0.085699,Neutral
"Utility Stocks Reporting Q3 Earnings on Nov 2: ED, DUK & More",https://www.zacks.com/stock/news/2176127/utility-stocks-reporting-q3-earnings-on-nov-2-ed-duk-more,2023-11-01 11:26:00,"Let's focus on utilities like ED, DUK, EXC, PNW, LNT and NRG, which are scheduled to release third-quarter 2023 earnings on Nov 2.",LNT,0.184457,0.062533,Neutral
PSEG  ( PEG )  Tops Q3 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2175218/pseg-peg-tops-q3-earnings-and-revenue-estimates,2023-10-31 12:40:07,"PSEG (PEG) delivered earnings and revenue surprises of 13.33% and 1.34%, respectively, for the quarter ended September 2023. Do the numbers hold clues to what lies ahead for the stock?",LNT,0.136113,0.0,Neutral
Alliant Energy  ( LNT )  to Report Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2175257/alliant-energy-lnt-to-report-q3-earnings-whats-in-store,2023-10-31 11:58:00,Alliant Energy's (LNT) third-quarter earnings are likely to have benefited from a favorable weather pattern amid higher interest expenses.,LNT,0.535653,0.254773,Somewhat-Bullish
"PNM Resources  ( PNM )  Q3 Earnings Beat Estimates, Revenues Lag",https://www.zacks.com/stock/news/2173639/pnm-resources-pnm-q3-earnings-beat-estimates-revenues-lag,2023-10-27 12:20:00,PNM Resources' (PNM) third-quarter 2023 earnings increase year over year. Total operating expenses decrease during the same period.,LNT,0.155954,0.088215,Neutral
Xcel Energy  ( XEL )  Q3 Earnings and Revenues Lag Estimates,https://www.zacks.com/stock/news/2173489/xcel-energy-xel-q3-earnings-and-revenues-lag-estimates,2023-10-27 11:15:06,"Xcel (XEL) delivered earnings and revenue surprises of -3.15% and 8.82%, respectively, for the quarter ended September 2023. Do the numbers hold clues to what lies ahead for the stock?",LNT,0.139265,0.0,Neutral
Analysts Estimate Alliant Energy  ( LNT )  to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2172751/analysts-estimate-alliant-energy-lnt-to-report-a-decline-in-earnings-what-to-look-out-for,2023-10-26 14:02:35,Alliant Energy (LNT) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,LNT,0.257442,0.007911,Neutral
Why Safe Haven Utilities Stocks Are Having Their Worst Year Since 2008,https://www.forbes.com/sites/hanktucker/2023/10/06/why-safe-haven-utilities-stocks-are-having-their-worst-year-since-2008/,2023-10-06 15:44:34,"Electric utility stocks used to be an income investor's best friend, but dividend growth cuts and rising Treasury yields have turned these rocksteady investments into market pariahs.",LNT,0.088964,0.165185,Somewhat-Bullish
Dominion  ( D )  Progresses Virginia Offshore Wind Commercial Project,https://www.zacks.com/stock/news/2155316/dominion-d-progresses-virginia-offshore-wind-commercial-project,2023-09-26 11:38:00,"Dominion (D) advances its offshore wind commercial project, off the coast of Virginia, after the completion of the environmental analysis.",LNT,0.133593,0.165744,Somewhat-Bullish
Dominion  ( D )  Works on New Battery Storage Project in Virginia,https://www.zacks.com/stock/news/2153118/dominion-d-works-on-new-battery-storage-project-in-virginia,2023-09-20 12:48:00,Dominion's (D) battery storage pilot project can significantly increase the working duration of batteries from the existing ones and provide other benefits for customers.,LNT,0.171282,0.236263,Somewhat-Bullish
3 Best Janus Mutual Funds to Invest In,https://www.zacks.com/stock/news/2152914/3-best-janus-mutual-funds-to-invest-in,2023-09-20 10:52:00,"Invest in Janus mutual funds such as JANEX, JNGLX and JDPAX, which have demonstrated a track record of delivering impressive returns.",LNT,0.065506,-0.046219,Neutral
FirstEnergy's  ( FE )  Units to Enhance Wastewater Treatment Process,https://www.zacks.com/stock/news/2147792/firstenergys-fe-units-to-enhance-wastewater-treatment-process,2023-09-12 12:52:00,FirstEnergy's (FE) subsidiaries Mon Power and Potomac Edison start construction on two projects to improve wastewater treatment process and create less wastewater.,LNT,0.184834,0.105773,Neutral
FirstEnergy's  ( FE )  Units to Build Three Solar Energy Sites,https://www.zacks.com/stock/news/2143682/firstenergys-fe-units-to-build-three-solar-energy-sites,2023-09-01 13:35:00,FirstEnergy's (FE) subsidiaries Mon Power and Potomac Edison receive approval to construct three solar projects in West Virginia that is in sync with FE's clean energy commitments.,LNT,0.194242,0.275548,Somewhat-Bullish
"Alliant Energy  ( LNT )  Rides on Clean Portfolio Focus, Investments",https://www.zacks.com/stock/news/2140998/alliant-energy-lnt-rides-on-clean-portfolio-focus-investments,2023-08-25 15:59:00,Alliant Energy (LNT) is expected to further benefit from its initiative to strengthen and expand its infrastructure. Clean assets will help serve its expanding customer base.,LNT,0.265859,0.478859,Bullish
Dominion Energy  ( D )  to Build Solar Farm in Dulles Airport,https://www.zacks.com/stock/news/2139669/dominion-energy-d-to-build-solar-farm-in-dulles-airport,2023-08-23 12:54:00,Dominion Energy's (D) one-of-a kind 100 MW solar project at the Dulles airport opens up the possibility of more utility-scale clean energy projects in airports.,LNT,0.246582,0.302628,Somewhat-Bullish
StockNews.com Begins Coverage on Alliant Energy  ( NASDAQ:LNT ) ,https://www.defenseworld.net/2023/08/23/stocknews-com-begins-coverage-on-alliant-energy-nasdaqlnt.html,2023-08-23 05:50:43,"Stock analysts at StockNews.com began coverage on shares of Alliant Energy ( NASDAQ:LNT - Get Free Report ) in a research note issued to investors on Wednesday. The firm set a ""sell"" rating on the stock.",LNT,0.880871,0.439279,Bullish
They Make CrossFit Documentaries. CrossFitters Can't Get Enough.,https://www.nytimes.com/2023/08/16/movies/crossfit-documentaries.html,2023-08-16 15:17:37,CrossFit Games Documentaries Have Become Surprise Hits The New York Times ...,LNT,0.054114,-0.01,Neutral
"Hawaiian Electric  ( HE )  Q2 Earnings Lag Estimates, Rise Y/Y",https://www.zacks.com/stock/news/2133801/hawaiian-electric-he-q2-earnings-lag-estimates-rise-yy,2023-08-08 16:30:00,Hawaiian Electric Industries' (HE) second-quarter earnings miss estimates. The company lowers its earnings expectation for 2023.,LNT,0.169676,0.164839,Somewhat-Bullish
"Alliant Energy  ( LNT )  Q2 Earnings Top Estimates, Revenues Fall Y/Y",https://www.zacks.com/stock/news/2132726/alliant-energy-lnt-q2-earnings-top-estimates-revenues-fall-yy,2023-08-04 13:06:00,Alliant Energy's (LNT) second-quarter 2023 earnings increase year over year. The company's retail electric customers grow during the same period.,LNT,0.466811,0.261383,Somewhat-Bullish
Alliant Energy  ( LNT )  Beats Q2 Earnings Estimates,https://www.zacks.com/stock/news/2132417/alliant-energy-lnt-beats-q2-earnings-estimates,2023-08-03 23:15:10,"Alliant Energy (LNT) delivered earnings and revenue surprises of 8.47% and 13.06%, respectively, for the quarter ended June 2023. Do the numbers hold clues to what lies ahead for the stock?",LNT,0.396052,0.11849,Neutral
"NiSource  ( NI )  Q2 Earnings Miss Estimates, Revenues Fall Y/Y",https://www.zacks.com/stock/news/2131141/nisource-ni-q2-earnings-miss-estimates-revenues-fall-yy,2023-08-02 13:10:00,NiSource's (NI) second-quarter 2023 earnings and revenues decrease year over year. Total operating expenses decline during the same period.,LNT,0.145145,0.084487,Neutral
"Utilities Stocks Reporting Q2 Earnings on Aug 3: PNW, LNT & More",https://www.zacks.com/stock/news/2131032/utilities-stocks-reporting-q2-earnings-on-aug-3-pnw-lnt-more,2023-08-02 12:11:00,"Let's focus on utilities like PNW, LNT, SRE, ED and AEE, which are scheduled to release second-quarter 2023 earnings on Aug 3.",LNT,0.235062,0.205006,Somewhat-Bullish
Alliant Energy  ( LNT )  to Report Q2 Earnings: What's in Store?,https://www.zacks.com/stock/news/2130232/alliant-energy-lnt-to-report-q2-earnings-whats-in-store,2023-08-01 10:14:00,Alliant Energy's (LNT) second-quarter earnings are likely to have benefited from systematic capital investments and lower O&M expenses.,LNT,0.580434,0.173959,Somewhat-Bullish
Duke Energy  ( DUK )  Signs 199MW Solar Power Deal in Indiana,https://www.zacks.com/stock/news/2125181/duke-energy-duk-signs-199mw-solar-power-deal-in-indiana,2023-07-21 10:09:00,"Duke Energy's (DUK) recent solar purchase agreement with Ranger Power will provide low-cost, reliable and clean energy to its Indiana customers.",LNT,0.288893,0.144976,Neutral
Black Hills'  ( BKH )  Natural Gas Utility Gets New Rate Approval,https://www.zacks.com/stock/news/2123686/black-hills-bkh-natural-gas-utility-gets-new-rate-approval,2023-07-19 13:58:00,"Black Hills' (BKH) unit Rocky Mountain Natural Gas LLC, with systematic investments in the gas distribution system, remains committed to serving its Colorado customers with safe, reliable and clean energy.",LNT,0.231332,0.224367,Somewhat-Bullish
Here's Why You Should Add Vistra  ( VST )  to Your Portfolio Now,https://www.zacks.com/stock/news/2123049/heres-why-you-should-add-vistra-vst-to-your-portfolio-now,2023-07-18 14:16:00,"Vistra (VST) makes a strong case for investment, given its growth prospects, strong return on equity and ability to increase shareholders' value.",LNT,0.159569,0.171575,Somewhat-Bullish
Reasons to Add Alliant Energy  ( LNT )  to Your Portfolio Now,https://www.zacks.com/stock/news/2121351/reasons-to-add-alliant-energy-lnt-to-your-portfolio-now,2023-07-14 13:11:00,"Alliant Energy (LNT) makes a strong case for investment, given its growth prospects, strong return on equity and ability to increase shareholders' value.",LNT,0.411848,0.571113,Bullish
