title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Exclusive: Shell energy transition prompted talks to sell Norway business,https://www.reuters.com/business/energy/shell-energy-transition-prompted-talks-sell-norway-business-2023-01-10/,2023-01-10 11:38:30,Exclusive: Shell energy transition prompted talks to sell Norway ... ...,COP,0.067727,0.0,Neutral
Should You Invest in the Vanguard Energy ETF  ( VDE ) ?,https://www.zacks.com/stock/news/2036578/should-you-invest-in-the-vanguard-energy-etf-vde,2023-01-09 11:20:06,Sector ETF report for ...,COP,0.136499,0.072027,Neutral
Buying This Dirt-Cheap High-Yield Dividend Stock Could Be a Genius Move in 2023,https://www.fool.com/investing/2023/01/06/buy-this-dirt-cheap-high-yield-dividend-stock-2023/,2023-01-06 22:46:00,ConocoPhillips has evolved into a passive income powerhouse.,COP,0.690003,0.255269,Somewhat-Bullish
Shale producer Pioneer expects OPEC to boost oil prices as Brent tumbles,https://www.reuters.com/business/energy/shale-producer-pioneer-expects-opec-boost-oil-prices-brent-tumbles-2023-01-05/,2023-01-05 15:38:00,Shale producer Pioneer expects OPEC to boost oil prices as Brent ... ...,COP,0.111488,0.0,Neutral
ConocoPhillips  ( COP )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2035346/conocophillips-cop-gains-but-lags-market-what-you-should-know,2023-01-04 22:45:24,"In the latest trading session, ConocoPhillips (COP) closed at $113.34, marking a +0.19% move from the previous day.",COP,0.699089,0.347795,Somewhat-Bullish
Canada oil sands producers to begin evaluating proposed carbon storage site,https://www.reuters.com/markets/commodities/canada-oil-sands-producers-begin-evaluating-proposed-carbon-storage-site-2023-01-04/,2023-01-04 17:48:00,Canada oil sands producers to begin evaluating proposed carbon ... ...,COP,0.113062,0.0,Neutral
"Stock Market News for Jan 4, 2023",https://www.zacks.com/stock/news/2035123/stock-market-news-for-jan-4-2023,2023-01-04 14:31:00,"Wall Street closed slightly lower on Tuesday, having traded in green earlier in the day.",COP,0.120733,0.10189,Neutral
ConocoPhillips  ( COP )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2035080/conocophillips-cop-is-attracting-investor-attention-here-is-what-you-should-know,2023-01-04 14:00:13,"Recently, Zacks.com users have been paying close attention to ConocoPhillips (COP). This makes it worthwhile to examine what the stock has in store.",COP,0.490323,0.135911,Neutral
Will ConocoPhillips  ( COP )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2034723/will-conocophillips-cop-beat-estimates-again-in-its-next-earnings-report,2023-01-03 17:10:12,ConocoPhillips (COP) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,COP,0.406526,0.466577,Bullish
How to Find Strong Oils and Energy Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2034528/how-to-find-strong-oils-and-energy-stocks-slated-for-positive-earnings-surprises,2023-01-03 13:50:07,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,COP,0.367865,0.39961,Bullish
3 Bold Oil Market Predictions for 2023,https://www.fool.com/investing/2023/01/02/3-bold-oil-market-predictions-for-2023/,2023-01-02 16:51:34,A look at what could be ahead for the oil market this year.,COP,0.103109,0.207874,Somewhat-Bullish
ConocoPhillips  ( COP )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2041632/conocophillips-cop-gains-as-market-dips-what-you-should-know,2023-01-19 22:45:18,"ConocoPhillips (COP) closed the most recent trading day at $119.64, moving +0.92% from the previous trading session.",COP,0.700945,0.220898,Somewhat-Bullish
Here is What to Know Beyond Why ConocoPhillips  ( COP )  is a Trending Stock,https://www.zacks.com/stock/news/2041252/here-is-what-to-know-beyond-why-conocophillips-cop-is-a-trending-stock,2023-01-19 14:00:11,"Recently, Zacks.com users have been paying close attention to ConocoPhillips (COP). This makes it worthwhile to examine what the stock has in store.",COP,0.484798,0.185412,Somewhat-Bullish
"Automotive-Industry Pioneer, NuVinAir, Promotes Marty Schoenthaler to President, Optimizing Company's Leadership for Growth",https://www.prnewswire.com/news-releases/automotive-industry-pioneer-nuvinair-promotes-marty-schoenthaler-to-president-optimizing-companys-leadership-for-growth-301724110.html,2023-01-18 13:00:00,"Automotive-Industry Pioneer, NuVinAir, Promotes Marty ... PR ...",COP,0.068306,0.090264,Neutral
Oil Giant Fuels Buy Point With 159% EPS Estimate On Tap,https://www.investors.com/research/breakout-stocks-technical-analysis/exxon-mobil-fuels-big-eps-estimates-putting-xom-stock-among-best-oil-stocks-to-watch/,2023-01-18 13:00:00,"Wall Street has eyes on Exxon Mobil ( XOM ) as the oil stock looks to energize a new breakout ahead of Jan. 31 earnings. Analysts expect the energy leader to fuel 62% EPS growth for the quarter, capping a 159% gain for 2022. XOM stock earns a spot on the IBD 50 as well as the IBD Breakout ...",COP,0.166169,0.25047,Somewhat-Bullish
Should You Invest in the iShares U.S. Energy ETF  ( IYE ) ?,https://www.zacks.com/stock/news/2040522/should-you-invest-in-the-ishares-us-energy-etf-iye,2023-01-18 11:20:06,Sector ETF report for ...,COP,0.135347,0.071708,Neutral
"Qatar does not advocate 'forgive and forget' for Russia, foreign minister says after colleague's controversial remarks",https://www.cnbc.com/2023/01/17/qatar-does-not-advocate-forgive-and-forget-for-russia-foreign-minister.html,2023-01-17 15:04:05,"""Qatar has a very clear political stance on this: we don't accept the invasion of another country,"" Foreign Minister Mohammed al-Thani told CNBC.",COP,0.07887,0.185208,Somewhat-Bullish
"Top Stories Friday, Jan. 13 - Bitcoin  ( BTC/USD ) , Ethereum  ( ETH/USD ) ",https://www.benzinga.com/news/earnings/23/01/30408324/crypto-com-sheds-20-of-its-workforce-new-disney-chairman-a-rubber-stamp-nelson-peltz-says-microsoft,2023-01-13 13:31:05,A Manhattan jury ruled that Adidas AG ADDDF ADDYY failed to prove luxury brand Thom Browne Inc's use of stripes on its clothing violated the sportswear giant's signature three-stripe trademark.,COP,0.127007,0.104617,Neutral
ConocoPhillips Might Be Able To Recover $10B Venezuela Owes After Potential Deal With State Oil Firm - ConocoPhillips  ( NYSE:COP ) ,https://www.benzinga.com/government/23/01/30406981/conocophillips-might-be-able-to-recover-10b-venezuela-owes-after-potential-deal-with-state-oil-firm,2023-01-13 13:02:37,"After abandoning Venezuela's assets in 2007 due to nationalization, ConocoPhillips COP is now open to a deal to sell the country's oil in the U.S. to recover around $10 billion the country owes it.",COP,0.856646,0.316941,Somewhat-Bullish
ConocoPhillips  ( COP )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2038115/conocophillips-cop-gains-but-lags-market-what-you-should-know,2023-01-11 22:45:22,"ConocoPhillips (COP) closed the most recent trading day at $118.24, moving +0.14% from the previous trading session.",COP,0.695399,0.412099,Bullish
Top Picks 2023: Seven Ways To Energize Portfolios,https://www.forbes.com/sites/moneyshow/2023/01/11/top-picks-2023-seven-ways-to-energize-portfolios/,2023-01-11 18:10:28,"For almost 4 decades, MoneyShow.com has surveyed the leading financial newsletter advisors asking for their favorite stocks for the coming year. The most popular sector in last year's report, and this year, is energy, with a focus on renewables and infrastructure. Here are 7 favorites for 2023.",COP,0.044263,0.073459,Neutral
Here's How Much You Would Have Made Owning ConocoPhillips Stock In The Last 5 Years - ConocoPhillips  ( NYSE:COP ) ,https://www.benzinga.com/news/earnings/23/01/30372235/heres-how-much-you-would-have-made-owning-conocophillips-stock-in-the-last-5-years,2023-01-11 14:33:38,"ConocoPhillips COP has outperformed the market over the past 5 years by 7.99% on an annualized basis producing an average annual return of 15.17%. Currently, ConocoPhillips has a market capitalization of $147.12 billion.",COP,0.983605,0.387251,Bullish
Is a Beat Likely for Enterprise Products  ( EPD )  in Q4 Earnings?,https://www.zacks.com/stock/news/2046234/is-a-beat-likely-for-enterprise-products-epd-in-q4-earnings,2023-01-30 14:14:00,Higher contributions from the midstream business is likely to have aided Enterprise Products' (EPD) Q4 earnings.,COP,0.201803,0.147833,Neutral
Is a Beat in Store for ConocoPhillips  ( COP )  in Q4 Earnings?,https://www.zacks.com/stock/news/2046084/is-a-beat-in-store-for-conocophillips-cop-in-q4-earnings,2023-01-30 12:32:00,Higher oil price is likely to have favored the exploration and production activities of ConocoPhillips (COP) in Q4.,COP,0.486857,0.193823,Somewhat-Bullish
"Can Market Sustain Upward Momentum In Tech-Heavy Earnings Week? Apple, Amazon, AMD, Alphabet, Ford Among Key Quarterly Reports To Watch",https://www.benzinga.com/news/earnings/23/01/30616031/can-market-sustain-upward-momentum-in-tech-heavy-earnings-week-apple-amazon-amd-alphabet-ford-among,2023-01-29 22:25:32,"With a full week of earnings behind us, it's time to take stock of the fourth-quarter reporting season so far. Overall, the news flow has been mixed, although tech earnings have grossly disappointed. Some of the big tech names that fell short are Intel Corp. INTC and Texas Instruments, Inc.",COP,0.054114,0.0,Neutral
"Apple, Amazon earnings, jobs data and Fed decision top week ahead",https://www.foxbusiness.com/markets/apple-amazon-earnings-jobs-data-fed-decision-top-week-ahead,2023-01-29 21:12:17,Mega Cap earnings and Fed decision top week ahead Fox Business ...,COP,0.04912,0.0,Neutral
Jobs report to give further clues about where economy is headed | Business,https://www.cnn.com/2023/01/29/investing/stocks-week-ahead,2023-01-29 12:17:00,Jobs report to give further clues about where economy is headed ...,COP,0.057907,-0.067965,Neutral
Jobs report to give further clues about where economy is headed | Business,https://www.cnn.com/2023/01/29/investing/stocks-week-ahead/index.html,2023-01-29 12:17:00,Jobs report to give further clues about where economy is headed ...,COP,0.057907,-0.067965,Neutral
Want to Profit From the Energy Stock Bull Run? Buy This Dividend Giant,https://www.fool.com/investing/2023/01/29/want-to-profit-from-the-energy-stock-bull-run-buy/,2023-01-29 10:15:00,"The biggest names get the most attention, but this smaller European giant could be the better investment.",COP,0.690822,-0.100223,Neutral
"Investing Action Plan - January Wrap: Apple, OPEC, Exxon And The Fed",https://www.investors.com/research/investing-action-plan/stock-market-investing-action-plan-january-wrap-apple-opec-exxon-and-the-fed/,2023-01-27 23:20:00,"Investing Action Plan - January Wrap: Apple, OPEC, Exxon And ... Investor's Business Daily ...",COP,0.049356,0.057394,Neutral
Wall St Week Ahead Recession fears pose challenge to energy shares after stellar year,https://www.reuters.com/markets/us/wall-st-week-ahead-recession-fears-pose-challenge-energy-shares-after-stellar-2023-01-27/,2023-01-27 22:42:22,Wall St Week Ahead Recession fears pose challenge to energy ... ...,COP,0.050359,0.0,Neutral
Energy Sector Predictions For 2023,https://www.forbes.com/sites/rrapier/2023/01/27/energy-sector-predictions-for-2023/,2023-01-27 20:40:33,"I always like to get in my energy predictions in early January, so this is a bit later than normal. Last year's predictions were especially tough, because Russia's invasion of Ukraine really upended the energy markets.",COP,0.141559,0.137101,Neutral
