title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Stocks Rally Amid Big Earnings, Economic Data: Weekly Review",https://www.investors.com/news/stock-market-continues-to-rally-asml-netflix-tesla-intel-are-big-earnings-movers-weekly-review/,2024-01-26 17:29:00,"Stock Market Continues To Rally. ASML, Netflix, Tesla, Intel Are Big Earnings Movers: Weekly Review Investor's Business Daily ...",BRO,0.040212,0.078443,Neutral
"Arthur J. Gallagher  ( AJG )  Q4 Earnings & Revenues Top, Up Y/Y",https://www.zacks.com/stock/news/2216287/arthur-j-gallagher-ajg-q4-earnings-revenues-top-up-yy,2024-01-26 10:33:00,Arthur J. Gallagher's (AJG) fourth-quarter results reflect higher adjusted revenues and margin expansion across the Brokerage and Risk Management segments.,BRO,0.079921,0.126171,Neutral
Marsh & McLennan  ( MMC )  Q4 Earnings Beat on Solid US Business,https://www.zacks.com/stock/news/2216075/marsh-mclennan-mmc-q4-earnings-beat-on-solid-us-business,2024-01-25 18:05:00,"Marsh & McLennan's (MMC) fourth-quarter results benefit from expanding operations across Latin America and EMEA, partly offset by higher operating expenses.",BRO,0.095771,0.099818,Neutral
W.R. Berkley's  ( WRB )  Q4 Earnings Beat on Higher Premiums,https://www.zacks.com/stock/news/2215529/wr-berkleys-wrb-q4-earnings-beat-on-higher-premiums,2024-01-25 12:06:00,"W.R. Berkley's (WRB) Q4 results reflect higher premiums, a rise in the core portfolio, increased underwriting income and an improvement in the loss ratio.",BRO,0.078611,0.12693,Neutral
"The Zacks Analyst Blog Highlights Novartis, Amgen, Palo Alto, Brown & Brown and Ericsson",https://www.zacks.com/stock/news/2215470/the-zacks-analyst-blog-highlights-novartis-amgen-palo-alto-brown-brown-and-ericsson,2024-01-25 09:58:00,"Novartis, Amgen, Palo Alto, Brown & Brown and Ericsson are included in this Analyst Blog.",BRO,0.140485,0.040143,Neutral
Progressive's  ( PGR )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2215151/progressives-pgr-q4-earnings-and-revenues-beat-estimates,2024-01-24 16:41:00,Progressive's (PGR) fourth-quarter 2023 results reflect year-over-year improvement in the top line.,BRO,0.112797,0.138325,Neutral
These Two Top-Ranked Stocks Score Big Break Out On Earnings,https://www.investors.com/news/sp-500-these-two-top-ranked-stocks-score-big-breakout-on-earnings/,2024-01-23 18:10:00,"Top IBD-rated stocks Brown & Brown ( BRO ) , which is an S&P 500 component, and GATX ( GATX ) , an S&P Midcap 400 stock, surged Tuesday after reporting better-than-expected Q4 earnings. GATX rocketed 11% higher while S&P 500 stock BRO spiked more than 6% in opening trade on Tuesday.",BRO,0.634884,0.303162,Somewhat-Bullish
Brown & Brown's  ( BRO )  Q4 Earnings & Revenues Top Estimates,https://www.zacks.com/stock/news/2214450/brown-browns-bro-q4-earnings-revenues-top-estimates,2024-01-23 17:37:00,"Brown & Brown's (BRO) Q4 results reflect strong organic growth, improved EBITDAC margin and higher net investment income, as well as lower expenses.",BRO,0.393241,0.191203,Somewhat-Bullish
"Brown & Brown, Inc. announces fourth quarter 2023 results, including total revenues of $1,026.2 million, an increase of 13.8%; Organic Revenue growth of 7.7%; diluted net income per share of $0.94; Diluted Net Income Per Share - Adjusted of $0.58; and a new alignment of its businesses into three segments",https://www.globenewswire.com/news-release/2024/01/23/2813579/0/en/Brown-Brown-Inc-announces-fourth-quarter-2023-results-including-total-revenues-of-1-026-2-million-an-increase-of-13-8-Organic-Revenue-growth-of-7-7-diluted-net-income-per-share-of-.html,2024-01-23 00:16:00,"DAYTONA BEACH, Fla., Jan. 22, 2024 ( GLOBE NEWSWIRE ) -- Brown & Brown, Inc. ( NYSE:BRO ) ( the ""Company"" ) announced its unaudited financial results for the fourth quarter and full year of 2023.",BRO,0.047278,0.180262,Somewhat-Bullish
"United Airlines, Brown & Brown And 3 Stocks To Watch Heading Into Monday - Brown & Brown  ( NYSE:BRO ) , Hingham Institution  ( NASDAQ:HIFS ) ",https://www.benzinga.com/news/earnings/24/01/36710943/united-airlines-brown-brown-and-3-stocks-to-watch-heading-into-monday,2024-01-22 08:55:10,"With U.S. stock futures trading higher this morning on Monday, some of the stocks that may grab investor focus today are as follows: Wall Street expects United Airlines Holdings, Inc. UAL to report quarterly earnings at $1.70 per share on revenue of $13.54 billion after the closing bell.",BRO,0.485711,0.323047,Somewhat-Bullish
