title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Here's How to Find 'Strong Buy' Stocks in 2023,https://www.zacks.com/commentary/2037555/heres-how-to-find-strong-buy-stocks-in-2023,2023-01-10 22:43:00,Investors can utilize the Filtered Zacks Rank 5 Stock Screen to help find potentially winning stocks for January and beyond in 2023 that have boosted their earnings guidance even as the larger EPS outlook slides lower.,GIS,0.067823,0.086028,Neutral
A Collection of 400 'Star Wars' Figures Going to Auction,https://www.barrons.com/articles/a-collection-of-400-star-wars-figures-heads-to-auction-01673388547,2023-01-10 22:09:00,"A treasure trove of Star Wars figures, most of which have been kept in their original boxes by a private collector for the past 40 years, will be sold next month at Morphy Auctions.",GIS,0.124809,-0.097833,Neutral
Should You Invest in the Invesco S&P 500 Equal Weight Consumer Staples ETF  ( RHS ) ?,https://www.zacks.com/stock/news/2037110/should-you-invest-in-the-invesco-sp-500-equal-weight-consumer-staples-etf-rhs,2023-01-10 11:20:08,Sector ETF report for ...,GIS,0.126119,0.069267,Neutral
What Does 2023 Have In Store For The Grocery Industry?,https://www.forbes.com/sites/errolschweizer/2023/01/09/what-does-2023-have-in-store-for-the-grocery-industry/,2023-01-10 04:00:24,"Will 2023 grocery trends be tender, juicy and delicious? From challenging economic conditions to regenerative value chains, 2023 promises plenty of fun and excitement for the food industry.",GIS,0.02241,-0.003797,Neutral
Cargill CFO Resigns as Company Reshuffles Leadership,https://www.wsj.com/articles/cargill-chief-financial-officer-jamie-miller-resigns-11673279776,2023-01-09 21:56:00,The Minneapolis-based agricultural giant has begun searching for Jamie Miller's successor. Her departure comes as the company's new CEO takes up his role.,GIS,0.07887,-0.022492,Neutral
Krispy Kreme Mixes Cult Favorite Cookie Flavor With Doughnuts,https://www.thestreet.com/restaurants/krispy-kreme-biscoff-partnership,2023-01-09 19:53:00,You may have encountered this memorable treat high up in the air.,GIS,0.113329,0.385411,Bullish
Short Sellers Profited By 31% in 2022 on Stock Picks,https://www.thestreet.com/stocks/short-sellers-profited-by-31-in-2022-on-stock-picks,2023-01-09 17:25:00,Tesla was the number one stock that short sellers made money from in 2022.,GIS,0.083251,0.331775,Somewhat-Bullish
"Organic Food and Beverages Market Receives Tailwinds as Non-GMO, and Clean Label Trends Proliferate",https://www.benzinga.com/pressreleases/23/01/g30333628/organic-food-and-beverages-market-receives-tailwinds-as-non-gmo-and-clean-label-trends-proliferate,2023-01-09 14:31:52,"London, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- The Kraft Heinz Company recently acquired Assan Foods to extend its international market reach with greater emphasis on enhanced tastes, and gourmet services.",GIS,0.042496,0.0,Neutral
Cargill Announces CFO Transition,https://www.prnewswire.com/news-releases/cargill-announces-cfo-transition-301716264.html,2023-01-09 14:30:00,"MINNEAPOLIS, Jan. 9, 2023 /PRNewswire/ -- Cargill today announced that Jamie Miller will step down as Chief Financial Officer to accept an opportunity outside the company. Joanne Knight will serve as Cargill's acting CFO.",GIS,0.109956,0.012155,Neutral
Is the Options Market Predicting a Spike in General Mills  ( GIS )  Stock?,https://www.zacks.com/stock/news/2036677/is-the-options-market-predicting-a-spike-in-general-mills-gis-stock,2023-01-09 13:44:00,Investors need to pay close attention to General Mills (GIS) stock based on the movements in the options market lately.,GIS,0.580018,0.090377,Neutral
Is It Too Late to Buy General Mills' Stock?,https://www.fool.com/investing/2023/01/07/is-it-too-late-to-buy-general-mills-stock/,2023-01-07 13:45:00,This company is a leader in consumer staples.,GIS,0.766141,0.34399,Somewhat-Bullish
"Cotopaxi CEO & Founder, Davis Smith will transition to Chairman of the Board in July 2023",https://www.prnewswire.com/news-releases/cotopaxi-ceo--founder-davis-smith-will-transition-to-chairman-of-the-board-in-july-2023-301715583.html,2023-01-06 16:38:00,"Cotopaxi CEO & Founder, Davis Smith will transition to Chairman of ... PR ...",GIS,0.044801,0.156919,Somewhat-Bullish
"General Mills, Inc.  ( GIS )  Is a Trending Stock: Facts to Know Before Betting on It",https://www.zacks.com/stock/news/2036186/general-mills-inc-gis-is-a-trending-stock-facts-to-know-before-betting-on-it,2023-01-06 14:00:07,"General Mills (GIS) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",GIS,0.48028,0.082521,Neutral
Could Blue Buffalo's Terrible Quarter Become a Long-Term Problem for General Mills?,https://www.fool.com/investing/2023/01/06/could-blue-buffalos-terrible-quarter-become-a-long/,2023-01-06 12:45:00,"General Mills is facing headwinds in its pet food business, especially its Blue Buffalo brand. Here's what it's doing to fix it.",GIS,0.554014,0.051851,Neutral
Conagra Brands  ( CAG )  Q2 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/01/05/conagra-brands-cag-q2-2023-earnings-call-transcrip/,2023-01-05 19:00:21,"CAG earnings call for the period ending December 31, 2022.",GIS,0.00443,0.102578,Neutral
"Don't Give Up on Consumer Staples Stocks, Just Buy Companies Like These",https://www.fool.com/investing/2023/01/05/dont-give-up-on-consumer-staples-just-buy-these/,2023-01-05 14:15:00,Upstart consumer staples brands often end up imploding. investors are usually better off with established companies.,GIS,0.316168,0.240805,Somewhat-Bullish
Conagra Brands raises 2023 forecast on price increases,https://www.reuters.com/business/retail-consumer/conagra-brands-raises-2023-forecast-price-increases-2023-01-05/,2023-01-05 13:41:00,"Jan 5 ( Reuters ) - Conagra Brands Inc ( CAG.N ) raised its annual forecasts on Thursday, after handily beating expectations for quarterly profit, as it mainly benefited from higher prices for its snacks and ready-to-eat meals.",GIS,0.126784,0.23656,Somewhat-Bullish
Jennifer Convery Joins Wilbur-Ellis Board of Directors,https://www.prnewswire.com/news-releases/jennifer-convery-joins-wilbur-ellis-board-of-directors-301714033.html,2023-01-05 13:00:00,"SAN FRANCISCO, Jan. 5, 2023 /PRNewswire/ -- Wilbur-Ellis announced today that Jennifer Convery has joined the Company's board of directors. As a commercial and operational leader in the food industry, Ms. Convery has extensive experience executing a purpose-driven strategy, while exceeding ...",GIS,0.075874,0.087331,Neutral
Jennifer Convery Joins Wilbur-Ellis Board of Directors,https://www.newswire.ca/news-releases/jennifer-convery-joins-wilbur-ellis-board-of-directors-889926164.html,2023-01-05 13:00:00,"SAN FRANCISCO, Jan. 5, 2023 /CNW/ -- Wilbur-Ellis announced today that Jennifer Convery has joined the Company's board of directors. As a commercial and operational leader in the food industry, Ms. Convery has extensive experience executing a purpose-driven strategy, while exceeding financial ...",GIS,0.075874,0.087331,Neutral
B&G Foods  ( BGS )  Refines Portfolio With Back to Nature Sale,https://www.zacks.com/stock/news/2035225/bg-foods-bgs-refines-portfolio-with-back-to-nature-sale,2023-01-04 16:21:00,"B&G Foods (BGS) sells the Back to Nature brand to Barilla America. Management expects to use the sale proceeds for long-term debt repayment, among others.",GIS,0.270973,0.242394,Somewhat-Bullish
B&G Foods  ( BGS )  Refines Portfolio With Back to Nature Sale,https://www.zacks.com/stock/news/2035216/bg-foods-bgs-refines-portfolio-with-back-to-nature-sale,2023-01-04 16:07:00,"B&G Foods (BGS) sells the Back to Nature brand to Barilla America. Management expects to use the sale proceeds for long-term debt repayment, among others.",GIS,0.270973,0.242394,Somewhat-Bullish
Is Invesco Dynamic Food & Beverage ETF  ( PBJ )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2034945/is-invesco-dynamic-food-beverage-etf-pbj-a-strong-etf-right-now,2023-01-04 11:20:08,Smart Beta ETF report for ...,GIS,0.116348,0.06132,Neutral
