title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
2 Dividend Stocks to Double Up on Right Now,https://www.fool.com/investing/2024/01/28/2-dividend-stocks-to-double-up-on-right-now/,2024-01-28 12:00:00,"Facing a unique set of problems, these two food makers are deeply out of favor. But that offers investors a long-term opportunity.",HRL,0.1172,0.159621,Somewhat-Bullish
Forget Coca-Cola: Buy This Magnificent Consumer Staples Stock Instead,https://www.fool.com/investing/2024/01/27/coca-cola-buy-magnificent-consumer-staple-hormel/,2024-01-27 12:15:00,"If you are looking at Coca-Cola's 3% dividend yield and thinking you want to buy it, consider this 3.6% yielder instead.",HRL,0.205225,0.174906,Somewhat-Bullish
Hormel Foods To Hold Virtual Annual Meeting of Stockholders,https://www.prnewswire.com/news-releases/hormel-foods-to-hold-virtual-annual-meeting-of-stockholders-302041639.html,2024-01-23 13:00:00,"AUSTIN, Minn., Jan. 23, 2024 /PRNewswire/ -- Hormel Foods Corporation ( NYSE: HRL ) , a global branded food company, announced it will hold its 2024 Annual Meeting of Stockholders virtually. The live webcast of the meeting will be held at 6 p.m.",HRL,0.293214,0.313388,Somewhat-Bullish
"Hormel Foods  ( HRL )  is in a Tough Spot for 2024, Hurt by Costs",https://www.zacks.com/stock/news/2213707/hormel-foods-hrl-is-in-a-tough-spot-for-2024-hurt-by-costs,2024-01-22 18:41:00,"Hormel Foods (HRL) is battling weakness in the International segment. In addition, inflationary headwinds continue to hurt.",HRL,0.282234,0.05177,Neutral
I Wouldn't Touch This Stock With a 10-Foot Pole -- Here's What I'd Buy Instead,https://www.fool.com/investing/2024/01/20/i-wouldnt-touch-this-stock-with-a-10-foot-pole-her/,2024-01-20 14:30:00,"Peloton is trying to figure out if it has a sustainable business. By contrast, Hormel has a real business and notably high yield.",HRL,0.104455,0.340107,Somewhat-Bullish
3 Incredibly Cheap Dividend Stocks,https://www.fool.com/investing/2024/01/20/3-incredibly-cheap-dividend-stocks/,2024-01-20 11:01:00,"If you are looking for dividend stocks to buy, start with these beaten-down bargains with reliable dividend histories.",HRL,0.157141,0.073883,Neutral
"Hormel Foods Announces Retirement of Pat Schwab, Vice President of Retail Sales - East - PR Newswire",https://www.prnewswire.com/news-releases/hormel-foods-announces-retirement-of-pat-schwab-vice-president-of-retail-sales--east-302038039.html,2024-01-18 13:00:00,"Hormel Foods Announces Retirement of Pat Schwab, Vice President of Retail Sales - East PR ...",HRL,0.504646,0.427479,Bullish
4 Best Dividend Stocks For Passive Income For 2024,https://www.forbes.com/sites/investor-hub/article/best-dividend-stocks-passive-income-2024/,2024-01-10 22:08:03,"There are many ways to create passive income. One popular way is through investing in dividend-paying stocks. With stock market volatility and below-average returns the past few years creating a challenge for investors, the idea of getting paid regular quarterly dividends from the stocks you own ...",HRL,0.056607,-0.039069,Neutral
Hormel Foods  ( HRL )  Dull on High Costs & Soft International Unit,https://www.zacks.com/stock/news/2207633/hormel-foods-hrl-dull-on-high-costs-soft-international-unit,2024-01-09 17:54:00,"Hormel Foods (HRL) continues to operate in a dynamic operating landscape, including sluggish consumer demand, inflationary hurdles and challenges in the International business.",HRL,0.212425,0.024256,Neutral
"Pasta Sauce Market to increase by USD 2.08 billion between 2022 to 2027, Europe accounts for 37% of the market ... - PR Newswire",https://www.prnewswire.com/news-releases/pasta-sauce-market-to-increase-by-usd-2-08-billion-between-2022-to-2027--europe-accounts-for-37-of-the-market-growth-during-the-forecast-period---technavio-302026298.html,2024-01-05 22:15:00,"Pasta Sauce Market to increase by USD 2.08 billion between 2022 to 2027, Europe accounts for 37% of the market ... PR ...",HRL,0.070517,0.012083,Neutral
Hormel Has Sold Meat Products in Grocery Stores for Over a Century. But Almost 50% of Its Profits Comes From Outside Grocery Stores Today.,https://www.fool.com/investing/2024/01/05/hormel-has-sold-meat-products-in-grocery-stores/,2024-01-05 14:00:00,Could an acquisition from 2021 hold a key to future dividend growth?,HRL,0.11983,0.060579,Neutral
Time to Buy Lamb Weston's  ( LW )  Stock After Solid Quarterly Results?,https://www.zacks.com/stock/news/2205979/time-to-buy-lamb-westons-lw-stock-after-solid-quarterly-results,2024-01-05 01:41:00,"After posting favorable results for its fiscal second quarter on Thursday, investors may be wondering if it's time to buy Lamb Weston's (LW) stock.",HRL,0.31282,0.328233,Somewhat-Bullish
3 Great Dividend Stocks You Can Buy for Less Than $50,https://www.fool.com/investing/2024/01/03/3-great-dividend-stocks-you-can-buy-for-less-than/,2024-01-03 11:10:00,Yields ranging from 3.5% to 9.7% offer investors a cash-flow machine on the cheap.,HRL,0.147516,0.075897,Neutral
Why Is Hormel  ( HRL )  Up 4.4% Since Last Earnings Report?,https://www.zacks.com/stock/news/2203756/why-is-hormel-hrl-up-44-since-last-earnings-report,2023-12-29 16:30:08,Hormel (HRL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,HRL,0.28987,0.201184,Somewhat-Bullish
Here's Why Hormel Foods  ( HRL )  Dropped More Than 15% in 3 Months,https://www.zacks.com/stock/news/2202711/heres-why-hormel-foods-hrl-dropped-more-than-15-in-3-months,2023-12-27 16:04:00,"Hormel Foods (HRL) continues to operate in a dynamic operating landscape, including sluggish consumer demand and inflationary hurdles.",HRL,0.200134,-0.019561,Neutral
"The Global Meat Products Market Size, Share, Growth Trends, Latest Innovations, and the Road Ahead",https://www.benzinga.com/pressreleases/23/12/g36357475/the-global-meat-products-market-size-share-growth-trends-latest-innovations-and-the-road-ahead,2023-12-22 08:30:00,"Chicago, Dec. 22, 2023 ( GLOBE NEWSWIRE ) -- The Global Meat Products Market refers to the economic sector that involves the production, processing, distribution, and sale of various meat-based products. This market encompasses a wide range of items derived from animals, such as beef, pork, ...",HRL,0.069094,0.168817,Somewhat-Bullish
Newsweek Names Hormel Foods One of America's Greatest Workplaces for Diversity - PR Newswire,https://www.prnewswire.com/news-releases/newsweek-names-hormel-foods-one-of-americas-greatest-workplaces-for-diversity-302020183.html,2023-12-20 15:15:00,Newsweek Names Hormel Foods One of America's Greatest Workplaces for Diversity PR ...,HRL,0.748136,0.710705,Bullish
New Strong Sell Stocks for December 20th,https://www.zacks.com/stock/news/2200338/new-strong-sell-stocks-for-december-20th,2023-12-20 10:51:00,"CTS, CIADY and HRL have been added to the Zacks Rank #5 (Strong Sell) List on December 20, 2023.",HRL,0.601928,-0.208705,Somewhat-Bearish
Hormel Foods Once Again Named Category Captain by Progressive Grocer - PR Newswire,https://www.prnewswire.com/news-releases/hormel-foods-once-again-named-category-captain-by-progressive-grocer-302017868.html,2023-12-18 14:01:00,Hormel Foods Once Again Named Category Captain by Progressive Grocer PR ...,HRL,0.576289,0.613896,Bullish
Hormel Foods Named to Drucker Institute Management Top 250 List of America's Best-Run Companies,https://www.prnewswire.com/news-releases/hormel-foods-named-to-drucker-institute-management-top-250-list-of-americas-best-run-companies-302016458.html,2023-12-15 13:00:00,"AUSTIN, Minn., Dec. 15, 2023 /PRNewswire/ -- Hormel Foods Corporation, ( NYSE: HRL ) , a Fortune 500 global branded food company, has been named one of America's Best Run Companies on the 2023 Management Top 250 list compiled by the Drucker Institute and published annually by The Wall Street ...",HRL,0.538782,0.581129,Bullish
Hot Sauce Market Size & Share to Surpass USD 15 billion by 2031 | Analysis by Transparency Market Research,https://www.benzinga.com/pressreleases/23/12/g36178430/hot-sauce-market-size-share-to-surpass-usd-15-billion-by-2031-analysis-by-transparency-market-rese,2023-12-11 15:30:00,"Wilmington, Delaware, United States, Dec. 11, 2023 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - Globally, the hot sauce market was valued at US$9.3 billion in 2021. A CAGR of 5.0% is forecast from 2022 to 2031. Global hot sauce sales are forecast to reach US$ 15.0 billion by 2031.",HRL,0.035086,0.0,Neutral
"Jim Cramer Highlights 'Transformational' Impact Of Weight Loss Drugs Like Ozempic: Focus Now On 'Potential Winners' From The Same Narrative - Novo Nordisk  ( NYSE:NVO ) , Eli Lilly  ( NYSE:LLY ) ",https://www.benzinga.com/news/23/12/36083857/jim-cramer-highlights-transformational-impact-of-weight-loss-drugs-like-ozempic-focus-now-on-potenti,2023-12-05 01:24:32,"What Happened: Jim Cramer outlined fresh investment prospects on Monday, revolving around the growing demand for GLP-1 drugs, typically administered for diabetes and obesity treatment. As reported by CNBC, investors initially expressed concerns about these drugs' market impact.",HRL,0.092213,0.172399,Somewhat-Bullish
