title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Mosaic  ( MOS )  Dips More Than Broader Market: What You Should Know,https://www.zacks.com/stock/news/2218329/mosaic-mos-dips-more-than-broader-market-what-you-should-know,2024-01-30 23:15:22,"Mosaic (MOS) reachead $31.78 at the closing of the latest trading day, reflecting a -1.06% change compared to its last close.",MOS,0.556576,0.254849,Somewhat-Bullish
Mosaic  ( MOS )  Stock Declines While Market Improves: Some Information for Investors,https://www.zacks.com/stock/news/2215371/mosaic-mos-stock-declines-while-market-improves-some-information-for-investors,2024-01-24 23:15:19,"In the closing of the recent trading day, Mosaic (MOS) stood at $31.96, denoting a -0.78% change from the preceding trading day.",MOS,0.6809,0.248827,Somewhat-Bullish
Four Stocks With Big Rebound Potential: The Casualty List,https://www.forbes.com/sites/johndorfman/2024/01/15/four-stocks-with-big-rebound-potential-the-casualty-list/,2024-01-15 15:00:00,"Buying good stocks on bad news is a sound methodology, I believe. You may not catch the exact bottom, but you're likely to find a good entry point. Each quarter, I compile a Casualty List of stocks that have been knocked down in the quarter just concluded, and that I think have excellent rebound ...",MOS,0.106778,-0.371345,Bearish
Mosaic  ( MOS )  Stock Falls Amid Market Uptick: What Investors Need to Know,https://www.zacks.com/stock/news/2207264/mosaic-mos-stock-falls-amid-market-uptick-what-investors-need-to-know,2024-01-08 23:15:19,"In the latest trading session, Mosaic (MOS) closed at $35.39, marking a -0.37% move from the previous day.",MOS,0.556576,0.247572,Somewhat-Bullish
Should You Invest in the First Trust Materials AlphaDEX ETF  ( FXZ ) ?,https://www.zacks.com/stock/news/2206732/should-you-invest-in-the-first-trust-materials-alphadex-etf-fxz,2024-01-08 11:20:07,Sector ETF report for ...,MOS,0.121959,0.067094,Neutral
"Sulfuric Acid Market Size to Reach USD 18.2 billion, at a 2.7% CAGR by 2031 | Transparency Market Research Inc.",https://www.benzinga.com/pressreleases/24/01/g36485167/sulfuric-acid-market-size-to-reach-usd-18-2-billion-at-a-2-7-cagr-by-2031-transparency-market-rese,2024-01-04 08:51:15,"Wilmington, Delaware, United States, Jan. 04, 2024 ( GLOBE NEWSWIRE ) -- Transparency Market Research Inc. - The global sulfuric acid market is estimated to surge at a CAGR of 2.7% from 2022 to 2031.",MOS,0.034381,0.207775,Somewhat-Bullish
Why You Should Retain Mosaic  ( MOS )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2204387/why-you-should-retain-mosaic-mos-stock-in-your-portfolio,2024-01-02 13:33:00,"While Mosaic (MOS) faces headwinds from weak pricing, it gains on higher demand for phosphate and potash on the back of favorable agricultural market fundamentals.",MOS,0.391923,0.578796,Bullish
Is First Trust Materials AlphaDEX ETF  ( FXZ )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2204032/is-first-trust-materials-alphadex-etf-fxz-a-strong-etf-right-now,2024-01-01 11:20:06,Smart Beta ETF report for ...,MOS,0.112797,0.059494,Neutral
"A Look Into Basic Materials Sector Value Stocks - Mosaic  ( NYSE:MOS ) , Warrior Met Coal  ( NYSE:HCC ) ",https://www.benzinga.com/news/23/12/36427666/a-look-into-basic-materials-sector-value-stocks,2023-12-29 14:38:57,A value stock is traditionally defined in terms of how investors in the marketplace are valuing that company's future growth prospects. Low P/E multiples are good base indicators that the company is undervalued and can most likely be labelled as a value stock.,MOS,0.173333,0.229839,Somewhat-Bullish
Watch These 5 Stocks That Recently Hiked Dividends,https://www.zacks.com/stock/news/2202493/watch-these-5-stocks-that-recently-hiked-dividends,2023-12-27 13:18:00,"Investors may keep a tab on stocks like FULT, SFBS, MOS, ABT and ANDE, which have lately hiked their dividend payments.",MOS,0.384233,0.114767,Neutral
