title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Exelon  ( NASDAQ:EXC )  Rating Increased to Hold at StockNews.com,https://www.defenseworld.net/2024/01/30/exelon-nasdaqexc-rating-increased-to-hold-at-stocknews-com.html,2024-01-30 06:20:47,"Exelon ( NASDAQ:EXC - Get Free Report ) was upgraded by analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research note issued on Tuesday.",EXC,0.861265,0.467756,Bullish
"The Zacks Analyst Blog Highlights Netflix, SAP, Illinois Tool Works, Exelon and Ryanair Holdings",https://www.zacks.com/stock/news/2217109/the-zacks-analyst-blog-highlights-netflix-sap-illinois-tool-works-exelon-and-ryanair-holdings,2024-01-29 14:36:00,"Netflix, SAP, Illinois Tool Works, Exelon and Ryanair Holdings are part of the Zacks top Analyst Blog.",EXC,0.12546,0.036773,Neutral
Exelon  ( NASDAQ:EXC )  Downgraded by StockNews.com to Sell,https://www.defenseworld.net/2024/01/25/exelon-nasdaqexc-downgraded-by-stocknews-com-to-sell.html,2024-01-25 09:24:41,StockNews.com cut shares of Exelon ( NASDAQ:EXC - Free Report ) from a hold rating to a sell rating in a report released on Wednesday morning.,EXC,0.842959,0.540254,Bullish
Exelon  ( NASDAQ:EXC )  Stock Rating Lowered by StockNews.com,https://www.defenseworld.net/2024/01/24/exelon-nasdaqexc-stock-rating-lowered-by-stocknews-com.html,2024-01-24 06:36:42,"Exelon ( NASDAQ:EXC - Get Free Report ) was downgraded by stock analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a research report issued on Wednesday. Several other analysts also recently commented on the company.",EXC,0.847959,0.344413,Somewhat-Bullish
Exelon  ( EXC )  to Gain From Investments & Cost Management,https://www.zacks.com/stock/news/2212598/exelon-exc-to-gain-from-investments-cost-management,2024-01-19 11:50:00,Exelon (EXC) is expected to benefit from its regular investment plan and cost management initiatives.,EXC,0.201523,0.089129,Neutral
"Exelon  ( NASDAQ:EXC )  Downgraded to ""Sell"" at StockNews.com",https://www.defenseworld.net/2024/01/19/exelon-nasdaqexc-downgraded-to-sell-at-stocknews-com.html,2024-01-19 10:33:11,StockNews.com cut shares of Exelon ( NASDAQ:EXC - Free Report ) from a hold rating to a sell rating in a report published on Thursday morning. Several other equities analysts have also recently issued reports on the company.,EXC,0.828402,0.416092,Bullish
Keep Your Eye On These 5 Dividend-Growth Masters,https://www.forbes.com/sites/brettowens/2024/01/15/keep-your-eye-on-these-5-dividend-growth-masters/,2024-01-15 13:15:00,"As inflation calms down, these dividend stocks are going to fire up. I'm talking about five stocks with payouts popping between 33% and 100% per year. And these are safe, profitable businesses powered by good ol' fashioned cash flow. I know, what a concept.",EXC,0.061949,0.161084,Somewhat-Bullish
Exelon  ( NASDAQ:EXC )  Rating Lowered to Sell at StockNews.com,https://www.defenseworld.net/2024/01/13/exelon-nasdaqexc-rating-lowered-to-sell-at-stocknews-com.html,2024-01-13 06:58:44,"Exelon ( NASDAQ:EXC - Get Free Report ) was downgraded by analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a research note issued to investors on Thursday. Other equities analysts have also recently issued reports about the stock.",EXC,0.889454,0.365363,Bullish
 ( EXC )  - Analyzing Exelon's Short Interest - Exelon  ( NASDAQ:EXC ) ,https://www.benzinga.com/short-sellers/24/01/36582724/exc-analyzing-exelons-short-interest,2024-01-10 19:45:17,"Exelon's EXC short percent of float has fallen 13.04% since its last report. The company recently reported that it has 9.92 million shares sold short, which is 1.0% of all regular shares that are available for trading. Based on its trading volume, it would take traders 1.0 days to cover their ...",EXC,0.224903,0.085754,Neutral
StockNews.com Downgrades Exelon  ( NASDAQ:EXC )  to Sell,https://www.defenseworld.net/2023/12/26/stocknews-com-downgrades-exelon-nasdaqexc-to-sell.html,2023-12-26 07:46:43,StockNews.com lowered shares of Exelon ( NASDAQ:EXC - Free Report ) from a hold rating to a sell rating in a report released on Monday. EXC has been the subject of several other research reports.,EXC,0.841723,0.404869,Bullish
