title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"PotlatchDeltic  ( PCH )  Q4 Earnings Miss Estimates, Shares Down",https://www.zacks.com/stock/news/2217667/potlatchdeltic-pch-q4-earnings-miss-estimates-shares-down,2024-01-30 12:30:00,"PotlatchDeltic's (PCH) fourth-quarter 2023 results reflect the solid performance of the Real Estate business, partially offset by lower contributions from its Timberlands and Wood Products businesses.",WY,0.097062,-0.10969,Neutral
"Weyerhaeuser  ( NYSE:WY )  Lowered to ""Hold"" at StockNews.com",https://www.defenseworld.net/2024/01/30/weyerhaeuser-nysewy-lowered-to-hold-at-stocknews-com.html,2024-01-30 08:32:45,StockNews.com cut shares of Weyerhaeuser ( NYSE:WY - Free Report ) from a buy rating to a hold rating in a research report report published on Monday. Several other research firms have also issued reports on WY. TheStreet lowered Weyerhaeuser from a b- rating to a c+ rating in a research note ...,WY,0.798255,0.399691,Bullish
"Eagle Materials  ( EXP )  Q3 Earnings & Revenues Top, Up Y/Y",https://www.zacks.com/stock/news/2217251/eagle-materials-exp-q3-earnings-revenues-top-up-yy,2024-01-29 15:21:00,"Eagle Materials' (EXP) fiscal third-quarter 2024 results showcase increased sales volume and gross sales prices, especially in the Heavy Materials segment. Yet, high operating costs are concerning.",WY,0.07887,-0.105578,Neutral
"Weyerhaeuser  ( WY )  Q4 Earnings Beat, Adjusted EBITDA Declines",https://www.zacks.com/stock/news/2216363/weyerhaeuser-wy-q4-earnings-beat-adjusted-ebitda-declines,2024-01-26 13:20:00,Weyerhaeuser's (WY) Q4 results reflect lower fee harvest volumes in the West and a decline in domestic sales volumes.,WY,0.32214,-0.007005,Neutral
Weyerhaeuser  ( WY )  Surpasses Q4 Earnings Estimates,https://www.zacks.com/stock/news/2216159/weyerhaeuser-wy-surpasses-q4-earnings-estimates,2024-01-25 22:50:04,"Weyerhaeuser (WY) delivered earnings and revenue surprises of 14.29% and 4%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",WY,0.400265,0.119382,Neutral
Weyerhaeuser Company Declares Supplemental Dividend on Common Shares,https://www.prnewswire.com/news-releases/weyerhaeuser-company-declares-supplemental-dividend-on-common-shares-302045192.html,2024-01-25 21:40:00,"• Returning per share supplemental dividend, resulting in per share of total dividends based on 2023 results • Delivering total cash return to shareholders of , or approximately 80 percent of Adjusted Funds Available for Distribution, based on 2023 results",WY,0.369685,0.255932,Somewhat-Bullish
"Weyerhaeuser Reports Fourth Quarter, Full Year Results",https://www.prnewswire.com/news-releases/weyerhaeuser-reports-fourth-quarter-full-year-results-302045187.html,2024-01-25 21:35:00,"SEATTLE, Jan. 25, 2024 /PRNewswire/ -- Weyerhaeuser Company ( NYSE: WY ) today reported fourth quarter net earnings of $219 million, or 30 cents per diluted share, on net sales of $1.8 billion.",WY,0.191069,0.085079,Neutral
Is a Surprise Coming for Weyerhaeuser  ( WY )  This Earnings Season?,https://www.zacks.com/stock/news/2215103/is-a-surprise-coming-for-weyerhaeuser-wy-this-earnings-season,2024-01-24 16:00:00,Weyerhaeuser (WY) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,WY,0.862063,0.593156,Bullish
Factors Setting the Tone for Weyerhaeuser's  ( WY )  Q4 Earnings,https://www.zacks.com/stock/news/2214323/factors-setting-the-tone-for-weyerhaeusers-wy-q4-earnings,2024-01-23 15:32:00,Weyerhaeuser's (WY) fourth-quarter results are likely to reflect weaker-than-expected contributions from the Wood Products segment.,WY,0.451494,0.082776,Neutral
Weyerhaeuser  ( WY )  Q4 Earnings on the Horizon: Analysts' Insights on Key Performance Measures,https://www.zacks.com/stock/news/2213945/weyerhaeuser-wy-q4-earnings-on-the-horizon-analysts-insights-on-key-performance-measures,2024-01-23 12:05:00,"Evaluate the expected performance of Weyerhaeuser (WY) for the quarter ended December 2023, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",WY,0.411848,0.129256,Neutral
Analysts Estimate Potlatch  ( PCH )  to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2213521/analysts-estimate-potlatch-pch-to-report-a-decline-in-earnings-what-to-look-out-for,2024-01-22 15:00:13,Potlatch (PCH) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,WY,0.174272,-0.00284,Neutral
Earnings Preview: Weyerhaeuser  ( WY )  Q4 Earnings Expected to Decline,https://www.zacks.com/stock/news/2212202/earnings-preview-weyerhaeuser-wy-q4-earnings-expected-to-decline,2024-01-18 15:00:41,Weyerhaeuser (WY) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,WY,0.297661,-0.039843,Neutral
